nct_id,rule_id,rule_type,type,identifier,field,operator,value,unit,raw_text,confidence,parsing_timestamp,condition
NCT06819228,inc001,inclusion,condition,"[""general""]",condition,=,,,* Willing to review and sign written informed consent.,0.85,2025-11-22T23:51:19.045890,cancer
NCT06819228,inc002,inclusion,demographic,"[""age""]",age,=,18,years,Male or female patients age \> 18 years.,0.85,2025-11-22T23:51:19.045943,cancer
NCT06819228,inc003,inclusion,condition,"[""general""]",condition,=,,,Tissue confirmation of head and neck squamous cell carcinoma.,0.85,2025-11-22T23:51:19.045947,cancer
NCT06819228,inc004,inclusion,condition,"[""general""]",condition,=,,,Patients for whom a potentially curative resection is planned as standard of care.,0.85,2025-11-22T23:51:19.045951,cancer
NCT06819228,inc005,inclusion,condition,"[""general""]",condition,=,,,ECOG performance status of 0 or 1,0.85,2025-11-22T23:51:19.045953,cancer
NCT06819228,inc006,inclusion,demographic,"[""age""]",age,=,,,"Adequate hematologic and end-organ function appropriate for surgery as determined by routine preoperative evaluation. If liver function, renal function and hematologic laboratory test results are acceptable for elective surgery, the patient is considered eligible for the study. Laboratory results that will need to be obtained within 30 days prior to initiation of study treatment: Magnesium, Phosphorus, serum pregnancy test (for females of childbearing age).",0.85,2025-11-22T23:51:19.045961,cancer
NCT06819228,inc007,inclusion,condition,"[""general""]",condition,=,,,For women of childbearing potential: Agreement to remain abstinent (refrain from heterosexual intercourse) or use contraceptive methods as defined below:,0.85,2025-11-22T23:51:19.045965,cancer
NCT06819228,inc008,inclusion,condition,"[""general""]",condition,=,,,"A woman is considered to be of childbearing potential if she is post-menarchal, has not reached a postmenopausal state (12 continuous months of amenorrhea with no identified cause other than menopause), and has not undergone surgical sterilization (removal of the uterus and/or both ovaries and/or both fallopian tubes). Post-menarchal is defined as either:",0.85,2025-11-22T23:51:19.045976,cancer
NCT06819228,inc009,inclusion,demographic,"[""age""]",age,=,55,years,age \>55 years old,0.85,2025-11-22T23:51:19.045979,cancer
NCT06819228,inc010,inclusion,demographic,"[""age""]",age,=,55,years,age \<55 years or less and,0.85,2025-11-22T23:51:19.045982,cancer
NCT06819228,inc011,inclusion,condition,"[""general""]",condition,=,,,"at least 12 months since last menstrual period,",0.85,2025-11-22T23:51:19.045985,cancer
NCT06819228,inc012,inclusion,condition,"[""general""]",condition,=,,,at least 6 months since last menstrual period and FSH \> 40 IU,0.85,2025-11-22T23:51:19.045988,cancer
NCT06819228,inc013,inclusion,condition,"[""pregnancy_status""]",pregnancy_status,=,pregnant,,Women of childbearing potential must have a negative pregnancy test result within 14 days prior to initiation of study treatment.,0.85,2025-11-22T23:51:19.045991,cancer
NCT06819228,inc014,inclusion,condition,"[""general""]",condition,=,,,Women must remain abstinent or use effective contraceptive methods during the treatment period and for 5 months after the final dose of panitumumab.,0.85,2025-11-22T23:51:19.045995,cancer
NCT06819228,inc015,inclusion,condition,"[""general""]",condition,=,,,Men must agree to remain abstinent or use a condom during the treatment period and for 5 months after the final dose of panitumumab/pan800 to avoid exposing the embryo. Men must agree to refrain from donating sperm during this same period.,0.85,2025-11-22T23:51:19.046000,cancer
NCT06819228,exc001,exclusion,condition,"[""general""]",condition,=,,,* Patients not eligible for standard of care surgical resection,0.85,2025-11-22T23:51:19.046011,cancer
NCT06819228,exc002,exclusion,condition,"[""general""]",condition,=,,,Patients with a history of infusion reactions or allergic reactions to panitumumab.,0.85,2025-11-22T23:51:19.046014,cancer
NCT06819228,exc003,exclusion,condition,"[""general""]",condition,=,,,"History of idiopathic pulmonary fibrosis, organizing pneumonia (e.g., bronchiolitis obliterans), drug-induced pneumonitis, or idiopathic pneumonitis, or evidence of active pneumonitis on screening chest computed tomography (CT) scan.",0.85,2025-11-22T23:51:19.046019,cancer
NCT06819228,exc004,exclusion,condition,"[""general""]",condition,=,,,History of radiation pneumonitis in the radiation field (fibrosis) is permitted.,0.85,2025-11-22T23:51:19.046022,cancer
NCT06819228,exc005,exclusion,condition,"[""general""]",condition,=,,,Active tuberculosis. Patients do NOT have to be screened for tuberculosis for this trial.,0.85,2025-11-22T23:51:19.046025,cancer
NCT06819228,exc006,exclusion,condition,"[""general""]",condition,=,,,"Significant cardiovascular disease (such as New York Heart Association Class II or greater cardiac disease, myocardial infarction, or cerebrovascular accident) within 3 months prior to initiation of study treatment, unstable arrhythmia, or unstable angina.",0.85,2025-11-22T23:51:19.046031,cancer
NCT06819228,exc007,exclusion,condition,"[""general""]",condition,=,,,History of severe allergic anaphylactic reactions to chimeric or humanized antibodies or fusion proteins.,0.85,2025-11-22T23:51:19.046034,cancer
NCT06819228,exc008,exclusion,demographic,"[""age""]",age,=,,,"Patients receiving Class IA (quinidine, procainamide) or Class III (dofetilide, amiodarone, sotalol) antiarrhythmic agents. The following drugs are known to interact with panitumumab and therefore any patients taking these medications within 30 days will be ineligible for the trial.",0.85,2025-11-22T23:51:19.046039,cancer
NCT06819228,exc009,exclusion,condition,"[""pregnancy_status""]",pregnancy_status,=,pregnant,,"Pregnancy or breastfeeding, or intention of becoming pregnant during study treatment or within 5 months after the final dose of study treatment.",0.85,2025-11-22T23:51:19.046042,cancer
NCT06819228,exc010,exclusion,condition,"[""general""]",condition,=,,,"Magnesium or phosphorus lower than normal institutional values, patient is symptomatic, and the values are unable to be corrected through standard repletion strategies.",0.85,2025-11-22T23:51:19.046046,cancer
NCT06819228,exc011,exclusion,condition,"[""general""]",condition,=,,,Evidence of QT prolongation on pretreatment ECG.,0.85,2025-11-22T23:51:19.046048,cancer
NCT06450353,inc001,inclusion,demographic,"[""age""]",age,>=,18,years,1. ≥ 18 years of age.,0.85,2025-11-22T23:51:19.046095,cancer
NCT06450353,inc002,inclusion,condition,"[""general""]",condition,=,,,Candidate for allogeneic transplantation,0.85,2025-11-22T23:51:19.046098,cancer
NCT06450353,exc001,exclusion,condition,"[""general""]",condition,=,,,1\) Allogeneic stem cell transplantation not medically indicated.,0.85,2025-11-22T23:51:19.046125,cancer
