nct_id,rule_id,rule_type,type,identifier,field,operator,value,unit,raw_text,confidence,parsing_timestamp,condition
NCT04960618,inc001,inclusion,condition,"[""diagnosis"", ""cancer""]",diagnosis,=,cancer,,"* Confirmed mycosis fungoides/Sezary syndrome, disease stage IB (defined as patches, plaque, or papules that involve 10% of the skin surface viscera) or higher.",0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,inc002,inclusion,demographic,"[""age""]",age,>=,18,years,Age ≥ 18 years.,0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,inc003,inclusion,condition,"[""general""]",condition,=,,,ECOG Performance Score between 0-1,0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,inc004,inclusion,condition,"[""general""]",condition,=,,,Receipt of at least one prior systemic therapy for MF/SS.,0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,inc005,inclusion,condition,"[""diagnosis"", ""cancer""]",diagnosis,=,cancer,,Previous systemic anti-cancer therapy must have been discontinued at least 2 weeks prior to treatment. See section 6.2 Subject,0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,exc001,exclusion,condition,"[""general""]",condition,=,,,for guidelines regarding adjuvant and maintenance therapy for prior malignancy.,0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,exc002,exclusion,condition,"[""general""]",condition,=,,,"Topical or systemic steroids (equivalent to ≤ 10 mg/day of prednisone) may be considered if dose has been constant and discontinuation may lead to rebound flare in disease, adrenal insufficiency, and/",0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,exc003,exclusion,condition,"[""general""]",condition,=,,,Prior therapy with gemcitabine allowed.,0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,exc004,exclusion,condition,"[""general""]",condition,=,,,Refer to Table 1 for laboratory inclusion criteria.,0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,exc005,exclusion,condition,"[""general""]",condition,=,,,The participant (or legally acceptable representative if applicable) provides written informed consent for the trial.,0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,exc006,exclusion,condition,"[""pregnancy_status""]",pregnancy_status,=,pregnant,,"A female participant is eligible to participate if she is not pregnant, not breastfeeding, and at least one of the following conditions applies:",0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,exc007,exclusion,condition,"[""general""]",condition,=,,,Not a woman of childbearing potential (WOCBP) as defined in Appendix C,0.85,2025-11-09T01:47:00.755478,cancer
NCT04960618,exc008,exclusion,condition,"[""general""]",condition,=,,,A WOCBP who agrees to follow the contraceptive guidance in Appendix C,0.85,2025-11-09T01:47:00.755478,cancer
